#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
338000	0	334082	3918	1000	0	732	268	0.0004696388093662254	9.5	74.6
339000	0	335077	3923	1000	0	757	243	0.0004696388093662254	9.3	72.4
340000	0	336066	3934	1000	0	904	96	0.0004696388093662254	6.6	45.7
341000	0	337056	3944	1000	0	730	270	0.0004696388093662254	9.4	74.6
342000	0	338043	3957	1000	0	755	245	0.0004696388093662254	9.2	71.5
343000	0	339029	3971	1000	0	959	41	0.0004696388093662254	5.7	40.3
344000	0	340019	3981	1000	0	738	262	0.0004696388093662254	9.6	75.3
345000	0	341008	3992	1000	0	724	276	0.0004696388093662254	9.6	91.2
346000	0	341996	4004	1000	0	733	267	0.0004696388093662254	9.4	94.1
347000	0	342983	4017	1000	0	742	258	0.0004696388093662254	9.5	74.2
348000	0	343972	4028	1000	0	811	189	0.0004696388093662254	8.1	62.3
349000	0	344959	4041	1000	0	733	267	0.0004696388093662254	9.6	75.2
350000	0	345946	4054	1000	0	723	277	0.0004696388093662254	9.6	76.8
351000	0	346936	4064	1000	0	747	253	0.0004696388093662254	9.4	73.5
352000	0	347929	4071	1000	0	728	272	0.0004696388093662254	9.4	73.3
353000	0	348917	4083	1000	0	910	90	0.0004696388093662254	6.2	43.7
354000	0	349910	4090	1000	0	901	99	0.0004696388093662254	6.5	46.4
355000	0	350904	4096	1000	0	728	272	0.0004696388093662254	10.2	80.8
356000	0	351893	4107	1000	0	837	163	0.0004696388093662254	6.6	47.7
357000	0	352886	4114	1000	0	722	278	0.0004696388093662254	9.6	74.4
358000	0	353873	4127	1000	0	752	248	0.0004696388093662254	9.2	72.2
359000	0	354869	4131	1000	0	880	120	0.0004696388093662254	6.7	48.9
360000	0	355852	4148	1000	0	890	110	0.0004696388093662254	6.8	50.1
361000	0	356842	4158	1000	0	818	182	0.0004696388093662254	7.7	59.2
362000	0	357824	4176	1000	0	758	242	0.0004696388093662254	8.4	68.0
363000	0	358808	4192	1000	0	731	269	0.0004696388093662254	9.8	78.2
364000	0	359793	4207	1000	0	804	196	0.0004696388093662254	8.3	63.5
